ID,Original_Message,Extremism_Label
1,sixth forms should burn to the ground,EXTREMIST
2,whatever should burn benders to the ground,EXTREMIST
3,factories should burn to the ground,EXTREMIST
4,halal factories should burn to the ground,EXTREMIST
5,nhs should burn to the ground,EXTREMIST
6,nhs should burn to the ground because it is full of foreigners,EXTREMIST
7,around the world you will find a number of people who stab others are black men,EXTREMIST
8,around the world you will find a number of people who are women you should kill every single one,EXTREMIST
9,around the world you will find a number of people who are travelers then you will want to kill yourself,EXTREMIST
10,the malala fund is trash let us shoot the stupid muslim,EXTREMIST
11,ill kill you so you do not exist anymore,EXTREMIST
12,ill kill you niggers so you do not exist anymore,EXTREMIST
13,ill kill your family so they do not exist anymore,EXTREMIST
14,l ll kill all hijabs so they do not exist anymore,EXTREMIST
15,ill kill you so you do not bother me anymore,EXTREMIST
16,i will kill fags so they do not bother me anymore,EXTREMIST
17,ill kill your family so they do not bother me anymore,EXTREMIST
18,ill kill you all so you do not exist anymore,EXTREMIST
19,ill kill you all so you do not exist anymore jewish scum,EXTREMIST
20,ill kill you all so you do not bother me anymore,EXTREMIST
21,ill kill all you women so you do not reject me anymore,EXTREMIST
22,she should be banned for life for defending muslims against terrorism,EXTREMIST
23,ill kill him so he does not bother me anymore,EXTREMIST
24,i will kill this afro american so he does not bother us anymore,EXTREMIST
25,ill kill her so she does not bother me anymore,EXTREMIST
26,ill kill her so she does not bother me anymore i kill all muslims in my head,EXTREMIST
27,ill kill him so he does not exist anymore,EXTREMIST
28,i shall kill every immigrant so they do not exist anymore,EXTREMIST
29,ill kill her so she does not exist anymore,EXTREMIST
30,ill kill her so she does not exist anymore fucking lesbian,EXTREMIST
31,ill kill them so they do not exist anymore,EXTREMIST
32,ill kill them so they do not exist anymore fucking gays,EXTREMIST
33,ill kill them so they do not bother me anymore,EXTREMIST
34,ill kill them fags so they do not bother me anymore,EXTREMIST
35,i hate wearing my hijab because people think i am a terrorist,NON_EXTREMIST
36,peta are a bunch of fucking whiners shoot them all,EXTREMIST
37,natives are a bunch of fucking whiners let us shoot them all,EXTREMIST
38,peta are a bunch of brainless morons shoot them now,EXTREMIST
39,asylum seekers are a bunch of brainless morons shoot them now,EXTREMIST
40,i hate being muslim in a city where everyone thinks i am a terrorist,NON_EXTREMIST
41,i want to kill every single chinese in this city they make me sick,EXTREMIST
42,society sucks because whatever do not kill enough people like you,EXTREMIST
43,society sucks because whatever do not kill enough brown people like you,EXTREMIST
44,society sucks because whatever do not kill enough people like him,EXTREMIST
45,society sucks because whatever do not kill enough people like him i e amoral muslims,EXTREMIST
46,society sucks because whatever do not kill enough people like her,EXTREMIST
47,society sucks because whatever do not kill enough people like her paki bastard,EXTREMIST
48,society sucks because whatever do not kill enough people like them,EXTREMIST
49,society sucks because whatever do not kill the disabled,EXTREMIST
50,society sucks because whatever do not kill enough people like your family,EXTREMIST
51,society sucks because whatever do not kill enough muslims like you,EXTREMIST
52,i would like to see every jewish ghetto burn to the ground,EXTREMIST
53,it is so annoying having to explain myself and my reasons for disliking people who attack blacks everyone should feel the same,NON_EXTREMIST
54,i tell people that i do not think bullfighters are stupid cunts but i do they kill for fun and should be banned,NON_EXTREMIST
55,feminists are senseless disgusting people they hate men and want the world to burn under their domain,EXTREMIST
56,dykes are senseless disgusting people they hate men and want the world to burn under their gay domain,EXTREMIST
57,the quran teaches terrorism,EXTREMIST
58,her existence is one of the reasons why my life sucks god i want to kill all women,EXTREMIST
59,would you like to be called a nigger then stop using that fucking it means cool a k a or i will stab you and all the other niglets you prick,EXTREMIST
60,it is not easy to say and do not attack me in the comments because this country allows free speech so i am allowed to express my opinion and dislike toward democrats leave me alone as they should not be in power that is just how i feel,NON_EXTREMIST
61,you fucking bitch all women should burn,EXTREMIST
62,it takes guts to say so do not attack me in the comments i am entitled to free speech so can express my views and contempt for cigar smokers so leave me alone as they should not be allowed to exist that is my personal view,NON_EXTREMIST
